global_step,episode,step_in_episode,action,reward,loss,q_value,epsilon,timestamp
3270,9,221,1,0.0,,0.05901952087879181,0.9935254000001406,2026-01-19T23:07:12.609878
3280,9,231,2,0.0,,0.058949343860149384,0.993505600000141,2026-01-19T23:07:12.616383
3290,9,241,3,0.0,,0.05894031375646591,0.9934858000001414,2026-01-19T23:07:12.622937
3300,9,251,4,0.0,,0.058932650834321976,0.9934660000001418,2026-01-19T23:07:12.629428
3310,9,261,0,0.0,,0.05901366472244263,0.9934462000001423,2026-01-19T23:07:12.636342
3320,9,271,5,0.0,,0.05945809558033943,0.9934264000001427,2026-01-19T23:07:12.644396
3330,9,281,0,0.0,,0.05938377603888512,0.9934066000001431,2026-01-19T23:07:12.651602
3340,9,291,5,0.0,,0.0589226558804512,0.9933868000001436,2026-01-19T23:07:12.659887
3350,9,301,3,0.0,,0.058080755174160004,0.993367000000144,2026-01-19T23:07:12.666544
3360,9,311,1,0.0,,0.05908684432506561,0.9933472000001444,2026-01-19T23:07:12.673454
3370,9,321,4,0.0,,0.059245072305202484,0.9933274000001449,2026-01-19T23:07:12.680607
3380,9,331,5,0.0,,0.059177465736866,0.9933076000001453,2026-01-19T23:07:12.687874
3390,9,341,3,0.0,,0.05930488556623459,0.9932878000001457,2026-01-19T23:07:12.694752
3400,9,351,2,0.0,,0.05925046652555466,0.9932680000001461,2026-01-19T23:07:12.701347
3410,9,361,0,0.0,,0.05922749266028404,0.9932482000001466,2026-01-19T23:07:12.708017
3420,9,371,0,0.0,,0.05848575010895729,0.993228400000147,2026-01-19T23:07:12.716528
3430,9,381,5,0.0,,0.05968524515628815,0.9932086000001474,2026-01-19T23:07:12.723750
3440,9,391,0,0.0,,0.05854876711964607,0.9931888000001479,2026-01-19T23:07:12.731746
3450,9,401,3,0.0,,0.05863156169652939,0.9931690000001483,2026-01-19T23:07:12.740164
3460,9,411,2,0.0,,0.058500852435827255,0.9931492000001487,2026-01-19T23:07:12.748374
3470,9,421,0,0.0,,0.058557167649269104,0.9931294000001492,2026-01-19T23:07:12.756573
3480,9,431,3,0.0,,0.059116430580616,0.9931096000001496,2026-01-19T23:07:12.763599
3490,9,441,5,0.0,,0.05855130776762962,0.99308980000015,2026-01-19T23:07:12.770257
3500,9,451,0,0.0,,0.05923962965607643,0.9930700000001504,2026-01-19T23:07:12.776760
3510,10,5,5,0.0,,0.058488424867391586,0.9930502000001509,2026-01-19T23:07:12.791511
3520,10,15,5,0.0,,0.058623261749744415,0.9930304000001513,2026-01-19T23:07:12.799715
3530,10,25,0,0.0,,0.05857757478952408,0.9930106000001517,2026-01-19T23:07:12.807102
3540,10,35,5,0.0,,0.05872541666030884,0.9929908000001522,2026-01-19T23:07:12.813936
3550,10,45,4,25.0,,0.058451101183891296,0.9929710000001526,2026-01-19T23:07:12.820763
3560,10,55,4,0.0,,0.05823525786399841,0.992951200000153,2026-01-19T23:07:12.827788
3570,10,65,2,0.0,,0.05906490981578827,0.9929314000001535,2026-01-19T23:07:12.834195
3580,10,75,1,0.0,,0.05945520102977753,0.9929116000001539,2026-01-19T23:07:12.842638
3590,10,85,0,0.0,,0.05973685160279274,0.9928918000001543,2026-01-19T23:07:12.850652
3600,10,95,3,0.0,,0.05962604284286499,0.9928720000001547,2026-01-19T23:07:12.858929
3610,10,105,0,0.0,,0.05962713062763214,0.9928522000001552,2026-01-19T23:07:12.866934
3620,10,115,2,0.0,,0.05960007756948471,0.9928324000001556,2026-01-19T23:07:12.875977
3630,10,125,5,0.0,,0.059738773852586746,0.992812600000156,2026-01-19T23:07:12.884498
3640,10,135,1,0.0,,0.05845381319522858,0.9927928000001565,2026-01-19T23:07:12.893009
3650,10,145,1,0.0,,0.059094615280628204,0.9927730000001569,2026-01-19T23:07:12.902398
3660,10,155,1,0.0,,0.059903692454099655,0.9927532000001573,2026-01-19T23:07:12.911587
3670,10,165,2,0.0,,0.05934588238596916,0.9927334000001578,2026-01-19T23:07:12.922539
3680,10,175,1,0.0,,0.059494562447071075,0.9927136000001582,2026-01-19T23:07:12.931861
3690,10,185,5,0.0,,0.05904458463191986,0.9926938000001586,2026-01-19T23:07:12.941169
3700,10,195,5,0.0,,0.059352509677410126,0.992674000000159,2026-01-19T23:07:12.951189
3710,10,205,4,0.0,,0.05930439382791519,0.9926542000001595,2026-01-19T23:07:12.959738
3720,10,215,5,0.0,,0.05915658921003342,0.9926344000001599,2026-01-19T23:07:12.968632
3730,10,225,1,0.0,,0.05923949554562569,0.9926146000001603,2026-01-19T23:07:12.977156
3740,10,235,3,0.0,,0.058536347001791,0.9925948000001608,2026-01-19T23:07:12.986014
3750,10,245,2,0.0,,0.05982757359743118,0.9925750000001612,2026-01-19T23:07:12.993890
3760,10,255,5,0.0,,0.05930658429861069,0.9925552000001616,2026-01-19T23:07:13.001090
3770,10,265,5,0.0,,0.058794815093278885,0.992535400000162,2026-01-19T23:07:13.007962
3780,10,275,1,0.0,,0.059105176478624344,0.9925156000001625,2026-01-19T23:07:13.015404
3790,10,285,3,0.0,,0.05928574874997139,0.9924958000001629,2026-01-19T23:07:13.023028
3800,10,295,0,0.0,,0.05920334905385971,0.9924760000001633,2026-01-19T23:07:13.030213
3810,10,305,1,0.0,,0.05923635512590408,0.9924562000001638,2026-01-19T23:07:13.037001
3820,10,315,4,0.0,,0.059531450271606445,0.9924364000001642,2026-01-19T23:07:13.043967
3830,10,325,0,0.0,,0.059382643550634384,0.9924166000001646,2026-01-19T23:07:13.050778
3840,10,335,2,0.0,,0.0586785227060318,0.9923968000001651,2026-01-19T23:07:13.058115
3850,10,345,4,0.0,,0.05894147977232933,0.9923770000001655,2026-01-19T23:07:13.064603
3860,11,9,0,0.0,,0.05851022154092789,0.9923572000001659,2026-01-19T23:07:13.080328
3870,11,19,2,0.0,,0.058619577437639236,0.9923374000001663,2026-01-19T23:07:13.088242
3880,11,29,4,0.0,,0.05858014523983002,0.9923176000001668,2026-01-19T23:07:13.095646
3890,11,39,3,0.0,,0.05842519924044609,0.9922978000001672,2026-01-19T23:07:13.102523
3900,11,49,5,0.0,,0.05924435704946518,0.9922780000001676,2026-01-19T23:07:13.109555
3910,11,59,0,0.0,,0.0591525174677372,0.9922582000001681,2026-01-19T23:07:13.116324
3920,11,69,1,0.0,,0.05920889228582382,0.9922384000001685,2026-01-19T23:07:13.123568
3930,11,79,5,0.0,,0.059459783136844635,0.9922186000001689,2026-01-19T23:07:13.130342
3940,11,89,2,0.0,,0.059706348925828934,0.9921988000001694,2026-01-19T23:07:13.137429
3950,11,99,2,0.0,,0.059723831713199615,0.9921790000001698,2026-01-19T23:07:13.144282
3960,11,109,4,0.0,,0.05972860008478165,0.9921592000001702,2026-01-19T23:07:13.151424
3970,11,119,2,0.0,,0.06000703573226929,0.9921394000001706,2026-01-19T23:07:13.158518
3980,11,129,3,0.0,,0.059850651770830154,0.9921196000001711,2026-01-19T23:07:13.166252
3990,11,139,0,0.0,,0.05899788811802864,0.9920998000001715,2026-01-19T23:07:13.173175
4000,11,149,3,0.0,,0.05909350514411926,0.9920800000001719,2026-01-19T23:07:13.180578
4010,11,159,2,0.0,,0.05954274535179138,0.9920602000001724,2026-01-19T23:07:13.187386
4020,11,169,0,0.0,,0.05899173393845558,0.9920404000001728,2026-01-19T23:07:13.194404
4030,11,179,3,0.0,,0.06017060950398445,0.9920206000001732,2026-01-19T23:07:13.201602
4040,11,189,3,0.0,,0.0583595409989357,0.9920008000001737,2026-01-19T23:07:13.208634
4050,11,199,4,0.0,,0.05882852524518967,0.9919810000001741,2026-01-19T23:07:13.216018
4060,11,209,2,0.0,,0.05935267359018326,0.9919612000001745,2026-01-19T23:07:13.222717
4070,11,219,2,0.0,,0.05945507809519768,0.9919414000001749,2026-01-19T23:07:13.229853
4080,11,229,5,0.0,,0.05957582965493202,0.9919216000001754,2026-01-19T23:07:13.236984
4090,11,239,1,0.0,,0.059436995536088943,0.9919018000001758,2026-01-19T23:07:13.243968
4100,11,249,5,0.0,,0.05953998863697052,0.9918820000001762,2026-01-19T23:07:13.250958
4110,11,259,5,0.0,,0.05953642725944519,0.9918622000001767,2026-01-19T23:07:13.257869
4120,11,269,1,0.0,,0.05977786332368851,0.9918424000001771,2026-01-19T23:07:13.264794
4130,11,279,0,0.0,,0.060090869665145874,0.9918226000001775,2026-01-19T23:07:13.272570
4140,11,289,0,0.0,,0.05880644917488098,0.991802800000178,2026-01-19T23:07:13.280019
4150,11,299,3,0.0,,0.05975745990872383,0.9917830000001784,2026-01-19T23:07:13.287098
4160,11,309,3,0.0,,0.05922584980726242,0.9917632000001788,2026-01-19T23:07:13.293944
4170,11,319,5,0.0,,0.059321608394384384,0.9917434000001792,2026-01-19T23:07:13.300075
4180,11,329,2,0.0,,0.05930182710289955,0.9917236000001797,2026-01-19T23:07:13.306662
4190,11,339,0,0.0,,0.05930663272738457,0.9917038000001801,2026-01-19T23:07:13.313440
4200,11,349,0,0.0,,0.05934338644146919,0.9916840000001805,2026-01-19T23:07:13.319918
4210,11,359,4,0.0,,0.05907236039638519,0.991664200000181,2026-01-19T23:07:13.326582
4220,11,369,1,0.0,,0.05910972133278847,0.9916444000001814,2026-01-19T23:07:13.333139
4230,12,5,3,0.0,,0.058488424867391586,0.9916246000001818,2026-01-19T23:07:13.348675
4240,12,15,1,0.0,,0.058623261749744415,0.9916048000001823,2026-01-19T23:07:13.355791
4250,12,25,1,0.0,,0.05857757478952408,0.9915850000001827,2026-01-19T23:07:13.363131
4260,12,35,0,0.0,,0.05872541666030884,0.9915652000001831,2026-01-19T23:07:13.370213
4270,12,45,4,0.0,,0.058802567422389984,0.9915454000001835,2026-01-19T23:07:13.377418
4280,12,55,3,0.0,,0.058836761862039566,0.991525600000184,2026-01-19T23:07:13.385640
4290,12,65,3,0.0,,0.0591341033577919,0.9915058000001844,2026-01-19T23:07:13.394444
4300,12,75,2,0.0,,0.059165108948946,0.9914860000001848,2026-01-19T23:07:13.402351
4310,12,85,0,0.0,,0.0591750331223011,0.9914662000001853,2026-01-19T23:07:13.409823
4320,12,95,3,0.0,,0.05921078473329544,0.9914464000001857,2026-01-19T23:07:13.417170
4330,12,105,1,0.0,,0.05921142175793648,0.9914266000001861,2026-01-19T23:07:13.424379
4340,12,115,1,0.0,,0.05915740877389908,0.9914068000001865,2026-01-19T23:07:13.431299
4350,12,125,3,0.0,,0.059446219354867935,0.991387000000187,2026-01-19T23:07:13.438281
4360,12,135,2,0.0,,0.05898555368185043,0.9913672000001874,2026-01-19T23:07:13.445028
4370,12,145,4,0.0,,0.05896839126944542,0.9913474000001878,2026-01-19T23:07:13.452143
4380,12,155,4,0.0,,0.05895847827196121,0.9913276000001883,2026-01-19T23:07:13.459097
4390,12,165,4,0.0,,0.05853854864835739,0.9913078000001887,2026-01-19T23:07:13.467178
4400,12,175,1,0.0,,0.059234507381916046,0.9912880000001891,2026-01-19T23:07:13.474300
4410,12,185,3,0.0,,0.059239234775304794,0.9912682000001896,2026-01-19T23:07:13.481394
4420,12,195,1,0.0,,0.05940213054418564,0.99124840000019,2026-01-19T23:07:13.488556
4430,12,205,5,0.0,,0.05923847481608391,0.9912286000001904,2026-01-19T23:07:13.495562
4440,12,215,1,0.0,,0.05919765308499336,0.9912088000001908,2026-01-19T23:07:13.501993
4450,12,225,1,0.0,,0.05969604104757309,0.9911890000001913,2026-01-19T23:07:13.508730
4460,12,235,5,0.0,,0.05939994007349014,0.9911692000001917,2026-01-19T23:07:13.515986
4470,12,245,1,0.0,,0.05849664285778999,0.9911494000001921,2026-01-19T23:07:13.522639
4480,12,255,4,0.0,,0.05908019095659256,0.9911296000001926,2026-01-19T23:07:13.529783
4490,13,2,3,0.0,,0.058571457862854004,0.991109800000193,2026-01-19T23:07:13.545807
4500,13,12,2,0.0,,0.05854742228984833,0.9910900000001934,2026-01-19T23:07:13.553669
4510,13,22,4,0.0,,0.058628667145967484,0.9910702000001939,2026-01-19T23:07:13.560761
4520,13,32,5,0.0,,0.05861598625779152,0.9910504000001943,2026-01-19T23:07:13.568871
4530,13,42,5,0.0,,0.058881621807813644,0.9910306000001947,2026-01-19T23:07:13.577501
4540,13,52,5,0.0,,0.05900245159864426,0.9910108000001951,2026-01-19T23:07:13.584308
4550,13,62,2,0.0,,0.05884284898638725,0.9909910000001956,2026-01-19T23:07:13.591558
4560,13,72,5,0.0,,0.059554070234298706,0.990971200000196,2026-01-19T23:07:13.599064
4570,13,82,5,0.0,,0.05940936505794525,0.9909514000001964,2026-01-19T23:07:13.606128
4580,13,92,0,0.0,,0.05933907628059387,0.9909316000001969,2026-01-19T23:07:13.613066
4590,13,102,1,0.0,,0.05935503542423248,0.9909118000001973,2026-01-19T23:07:13.621643
4600,13,112,0,0.0,,0.059435464441776276,0.9908920000001977,2026-01-19T23:07:13.631079
4610,13,122,3,0.0,,0.05961185693740845,0.9908722000001982,2026-01-19T23:07:13.638820
4620,13,132,2,25.0,,0.0589192733168602,0.9908524000001986,2026-01-19T23:07:13.646094
4630,13,142,5,0.0,,0.058620207011699677,0.990832600000199,2026-01-19T23:07:13.655114
4640,13,152,2,0.0,,0.0598035529255867,0.9908128000001994,2026-01-19T23:07:13.663486
4650,13,162,0,0.0,,0.059335142374038696,0.9907930000001999,2026-01-19T23:07:13.671606
4660,13,172,2,0.0,,0.05924570560455322,0.9907732000002003,2026-01-19T23:07:13.678983
4670,13,182,5,0.0,,0.059200018644332886,0.9907534000002007,2026-01-19T23:07:13.687553
4680,13,192,2,0.0,,0.05923352390527725,0.9907336000002012,2026-01-19T23:07:13.696207
4690,13,202,5,0.0,,0.05928584560751915,0.9907138000002016,2026-01-19T23:07:13.703433
4700,13,212,2,0.0,,0.05903810262680054,0.990694000000202,2026-01-19T23:07:13.711640
4710,13,222,1,0.0,,0.059465549886226654,0.9906742000002025,2026-01-19T23:07:13.726469
4720,13,232,4,0.0,,0.058169424533843994,0.9906544000002029,2026-01-19T23:07:13.734743
4730,13,242,2,0.0,,0.06000932678580284,0.9906346000002033,2026-01-19T23:07:13.742731
4740,13,252,0,0.0,,0.05988609790802002,0.9906148000002037,2026-01-19T23:07:13.751957
4750,13,262,4,0.0,,0.05989539623260498,0.9905950000002042,2026-01-19T23:07:13.760701
4760,13,272,0,0.0,,0.05966775119304657,0.9905752000002046,2026-01-19T23:07:13.768851
4770,13,282,2,0.0,,0.05915706977248192,0.990555400000205,2026-01-19T23:07:13.776989
4780,13,292,5,0.0,,0.05903254821896553,0.9905356000002055,2026-01-19T23:07:13.784538
4790,13,302,1,0.0,,0.05940431356430054,0.9905158000002059,2026-01-19T23:07:13.792052
4800,13,312,1,0.0,,0.058933526277542114,0.9904960000002063,2026-01-19T23:07:13.799427
4810,13,322,4,0.0,,0.05862610042095184,0.9904762000002068,2026-01-19T23:07:13.806898
4820,13,332,0,0.0,,0.0589798167347908,0.9904564000002072,2026-01-19T23:07:13.813856
4830,14,4,5,0.0,,0.05852194130420685,0.9904366000002076,2026-01-19T23:07:13.829730
4840,14,14,2,0.0,,0.058594830334186554,0.990416800000208,2026-01-19T23:07:13.838138
4850,14,24,0,0.0,,0.058585118502378464,0.9903970000002085,2026-01-19T23:07:13.846028
4860,14,34,1,0.0,,0.0586862713098526,0.9903772000002089,2026-01-19T23:07:13.853481
4870,14,44,0,0.0,,0.05845549702644348,0.9903574000002093,2026-01-19T23:07:13.860038
4880,14,54,5,0.0,,0.059158630669116974,0.9903376000002098,2026-01-19T23:07:13.866773
