episode,total_reward,episode_length,avg_loss,avg_q_value,epsilon,timestamp,total_steps,training_time_seconds,eval_reward,buffer_reward_min,buffer_reward_max,buffer_reward_mean,buffer_reward_std
624,75.0,332,0.0031403069242514903,38.76657546650279,0.01,2026-01-23T00:40:42.903050,235357,0.9945487976074219,,0.0,3.25,0.007315,0.13367961
625,75.0,329,0.005147496751947876,47.62399678519278,0.01,2026-01-23T00:40:43.868565,235686,0.9497065544128418,,0.0,3.25,0.00733,0.13369282
626,375.0,355,0.006893842642764664,47.386862663759125,0.01,2026-01-23T00:40:44.905677,236041,1.0214483737945557,,0.0,3.25,0.00733,0.13369282
627,50.0,356,0.0037102400982642874,43.463191168648855,0.01,2026-01-23T00:40:45.936242,236397,1.0147488117218018,,0.0,3.25,0.00733,0.13369282
628,75.0,332,0.004032079171498909,41.687229300990246,0.01,2026-01-23T00:40:46.895343,236729,0.9435160160064697,,0.0,3.25,0.007265,0.13290396
629,425.0,370,0.0038140403954053503,52.86593924341975,0.01,2026-01-23T00:40:47.959158,237099,1.047837495803833,,0.0,3.25,0.007275,0.13291283
630,75.0,339,0.0026379235222360447,39.95696662454044,0.01,2026-01-23T00:40:48.957034,237438,0.9819142818450928,,0.0,3.25,0.00722,0.13212825
631,75.0,335,0.004038579648990622,43.763580434462604,0.01,2026-01-23T00:40:49.939871,237773,0.9654748439788818,,0.0,3.25,0.00721,0.13211933
632,375.0,354,0.002934343872766476,40.08359460149492,0.01,2026-01-23T00:40:50.969111,238127,1.0133717060089111,,0.0,3.25,0.007215,0.1321238
633,375.0,329,0.011239219713388593,41.86235585357203,0.01,2026-01-23T00:40:51.919597,238456,0.9349772930145264,,0.0,3.25,0.00722,0.13212825
634,375.0,341,0.004369693400803953,46.52184912737678,0.01,2026-01-23T00:40:52.947666,238797,1.0113475322723389,,0.0,3.25,0.00723,0.13213716
635,350.0,326,0.0064952299717868514,42.9009320230195,0.01,2026-01-23T00:40:53.893011,239123,0.9295141696929932,,0.0,3.25,0.007205,0.13211486
636,400.0,333,0.005734942114941077,46.411370087753646,0.01,2026-01-23T00:40:54.861017,239456,0.9512009620666504,,0.0,3.25,0.00721,0.13200575
637,0.0,297,0.0023682450138342876,26.3683744430542,0.01,2026-01-23T00:40:55.732864,239753,0.8563015460968018,,0.0,3.25,0.007145,0.13120672
638,0.0,281,0.001777236085867376,22.574819965021952,0.01,2026-01-23T00:40:56.553585,240034,0.8051135540008545,,0.0,3.25,0.007145,0.13120672
639,0.0,281,0.007258586943083044,24.27812493486064,0.01,2026-01-23T00:40:57.378920,240315,0.8097968101501465,,0.0,3.25,0.007075,0.1303982
